slug,startDate,endDate,p_up,p_down
btc-updown-5m-1777800600,2026-05-02T09:38:17.267651Z,2026-05-03T09:35:00Z,1,0
btc-updown-5m-1777800900,2026-05-02T09:48:15.096326Z,2026-05-03T09:40:00Z,1,0
btc-updown-5m-1777801200,2026-05-02T09:54:55.69541Z,2026-05-03T09:45:00Z,0,1
btc-updown-5m-1777801500,2026-05-02T09:56:12.24369Z,2026-05-03T09:50:00Z,1,0
btc-updown-5m-1777801800,2026-05-02T09:58:32.501053Z,2026-05-03T09:55:00Z,1,0
btc-updown-5m-1777802100,2026-05-02T10:03:50.072131Z,2026-05-03T10:00:00Z,1,0
btc-updown-5m-1777802400,2026-05-02T10:09:14.815973Z,2026-05-03T10:05:00Z,0,1
btc-updown-5m-1777802700,2026-05-02T10:14:03.414569Z,2026-05-03T10:10:00Z,1,0
btc-updown-5m-1777803000,2026-05-02T10:18:33.859588Z,2026-05-03T10:15:00Z,1,0
btc-updown-5m-1777803300,2026-05-02T10:23:31.865269Z,2026-05-03T10:20:00Z,0,1
btc-updown-5m-1777803600,2026-05-02T10:29:09.248806Z,2026-05-03T10:25:00Z,0,1
btc-updown-5m-1777803900,2026-05-02T10:33:33.72267Z,2026-05-03T10:30:00Z,0,1
btc-updown-5m-1777804200,2026-05-02T10:39:13.493952Z,2026-05-03T10:35:00Z,1,0
btc-updown-5m-1777804500,2026-05-02T10:43:21.317414Z,2026-05-03T10:40:00Z,0,1
btc-updown-5m-1777804800,2026-05-02T10:48:44.466336Z,2026-05-03T10:45:00Z,0,1
btc-updown-5m-1777805100,2026-05-02T10:55:26.682923Z,2026-05-03T10:50:00Z,0,1
btc-updown-5m-1777805400,2026-05-02T10:58:05.301771Z,2026-05-03T10:55:00Z,1,0
btc-updown-5m-1777805700,2026-05-02T11:03:41.670922Z,2026-05-03T11:00:00Z,0,1
btc-updown-5m-1777806000,2026-05-02T11:08:13.282585Z,2026-05-03T11:05:00Z,0,1
btc-updown-5m-1777806300,2026-05-02T11:13:09.483288Z,2026-05-03T11:10:00Z,1,0
btc-updown-5m-1777806600,2026-05-02T11:18:17.846865Z,2026-05-03T11:15:00Z,1,0
btc-updown-5m-1777806900,2026-05-02T11:23:44.821013Z,2026-05-03T11:20:00Z,0,1
btc-updown-5m-1777807200,2026-05-02T11:29:17.392345Z,2026-05-03T11:25:00Z,0,1
btc-updown-5m-1777807500,2026-05-02T11:33:39.283318Z,2026-05-03T11:30:00Z,1,0
btc-updown-5m-1777807800,2026-05-02T11:38:33.309121Z,2026-05-03T11:35:00Z,1,0
btc-updown-5m-1777808100,2026-05-02T11:43:47.482539Z,2026-05-03T11:40:00Z,0,1
btc-updown-5m-1777808400,2026-05-02T11:49:17.838718Z,2026-05-03T11:45:00Z,1,0
